Academic Year,Undergrad Plan,Master's Plan,Number of Completions
2014,Computer Science (BS),Computer Science (MS),33
2014,Mechanical Engineer (BS),Mechanical Engineer (MS),28
2014,Electrical Engineering (BS),Electrical Engineering (MS),15
2014,Engineering (BS),Mechanical Engineer (MS),12
2014,Economics (BA),Mgmt Sci & Engineering (MS),11
2014,Engineering (BS),Civil & Envir Engr (MS),9
2014,Earth Systems (BS),Earth Systems (MS),8
2014,Chemical Engineering (BS),Chemical Engineering (MS),7
2014,Civil Engineering (BS),Civil & Envir Engr (MS),7
2014,Mathematics (BS),Computer Science (MS),7
2014,Mgmt Sci & Engineering (BS),Mgmt Sci & Engineering (MS),6
2014,Biology (BS),Biology (MS),5
2014,Electrical Engineering (BS),Computer Science (MS),5
2014,Math & Comp Science (BS),Computer Science (MS),5
2014,Symbolic Systems (BS),Computer Science (MS),5
2014,Human Biology (BA),Biology (MS),4
2014,Materials Science & Engr (BS),Materials Science & Engr (MS),4
2014,Biology (BSH),Biology (MS),3
2014,Earth Systems (BS),Civil & Envir Engr (MS),3
2014,Economics (BA),Public Policy (MA),3
2014,History (BAH),History (MA),3
2014,Human Biology (BA),Earth Systems (MS),3
2014,Human Biology (BA),Education (MA),3
2014,Mgmt Sci & Engineering (BS),Civil & Envir Engr (MS),3
2014,"Science, Tech, & Soc (BS)",Earth Systems (MS),3
2014,Computer Science (BS),Mgmt Sci & Engineering (MS),2
2014,Earth Systems (BS),Mgmt Sci & Engineering (MS),2
2014,Economics (BAH),Mgmt Sci & Engineering (MS),2
2014,Economics (BAH),Public Policy (MA),2
2014,English (BA),Education (MA),2
2014,English (BA),English (MA),2
2014,English (BA),Mgmt Sci & Engineering (MS),2
2014,Environmental Engineer (BS),Civil & Envir Engr (MS),2
2014,Human Biology (BA),Sociology (MA),2
2014,International Relat (BA),Communication (MA),2
2014,International Relat (BA),Latin American Studies (MA),2
2014,International Relat (BA),Sociology (MA),2
2014,Materials Science & Engr (BS),Mgmt Sci & Engineering (MS),2
2014,Math & Comp Science (BS),Mgmt Sci & Engineering (MS),2
2014,Math & Comp Science (BSH),Statistics (MS),2
2014,Mathematics (BS),Statistics (MS),2
2014,Mechanical Engineer (BS),Aeronautics & Astro (MS),2
2014,Mechanical Engineer (BS),Computer Science (MS),2
2014,Mgmt Sci & Engineering (BS),Psychology (MA),2
2014,Psychology (BA),Psychology (MA),2
2014,"Science, Tech, & Soc (BA)",Communication (MA),2
2014,Sociology (BA),Sociology (MA),2
2014,Symbolic Systems (BS),Mgmt Sci & Engineering (MS),2
2014,Anthropology (BA),Earth Systems (MS),1
2014,Anthropology (BAH),Communication (MA),1
2014,Biology (BS),Psychology (MA),1
2014,Biology (BSH),Biomedical Informatics (MS),1
2014,Biology (BSH),Earth Systems (MS),1
2014,Chemistry (BS),Electrical Engineering (MS),1
2014,Chemistry (BS),Materials Science & Engr (MS),1
2014,Civil Engineering (BSH),Civil & Envir Engr (MS),1
2014,Classics (BA),Mgmt Sci & Engineering (MS),1
2014,Communication (BA),Communication (MA),1
2014,Communication (BAH),Communication (MA),1
2014,Comp Stu Race & Eth (BA),Education (MA),1
2014,Comp Stu Race & Eth (BA),Sociology (MA),1
2014,Comp Stu Race & Eth (BAH),Education (MA),1
2014,Comp Stu Race & Eth (BAH),Mod Thought & Lit (MA),1
2014,Comparative Lit (BAH),Computer Science (MS),1
2014,Computer Science (BS),Education (MA),1
2014,Computer Science (BS),Financial Mathematics (MS),1
2014,Computer Science (BS),Symbolic Systems (MS),1
2014,Computer Science (BSH),Electrical Engineering (MS),1
2014,Earth Systems (BSH),Civil & Envir Engr (MS),1
2014,Economics (BA),Chinese (MA),1
2014,Economics (BA),Computer Science (MS),1
2014,Electrical Engineering (BS),Mgmt Sci & Engineering (MS),1
2014,Engineering (BS),Aeronautics & Astro (MS),1
2014,Engineering (BS),Biology (MS),1
2014,Engineering (BS),Computer Science (MS),1
2014,Engineering (BS),Electrical Engineering (MS),1
2014,Engineering (BSH),Biology (MS),1
2014,Engineering (BSH),Computer Science (MS),1
2014,English (BAH),English (MA),1
2014,Environmental Engineer (BS),Earth Systems (MS),1
2014,Environmental Engineer (BS),Geol & Environ Sci (MS),1
2014,French (BAH),Communication (MA),1
2014,History (BA),Education (MA),1
2014,History (BA),Sociology (MA),1
2014,History (BAH),Education (MA),1
2014,Human Biology (BA),Biomedical Informatics (MS),1
2014,Human Biology (BA),Communication (MA),1
2014,Human Biology (BA),Mgmt Sci & Engineering (MS),1
2014,Human Biology (BA),Psychology (MA),1
2014,Human Biology (BAH),Biology (MS),1
2014,Human Biology (BAH),Mgmt Sci & Engineering (MS),1
2014,Human Biology (BAH),Sociology (MA),1
2014,Human Biology (BAH),Symbolic Systems (MS),1
2014,Indiv Des Major-Engr (BS),Mechanical Engineer (MS),1
2014,International Relat (BA),African Studies (MA),1
2014,International Relat (BA),East Asian Studies (MA),1
2014,International Relat (BAH),African Studies (MA),1
2014,Japanese (BA),Mgmt Sci & Engineering (MS),1
2014,Math & Comp Science (BS),Financial Mathematics (MS),1
2014,Math & Comp Science (BS),Public Policy (MA),1
2014,Math & Comp Science (BSH),Financial Mathematics (MS),1
2014,Math & Comp Science (BSH),Mgmt Sci & Engineering (MS),1
2014,Mathematics (BS),Electrical Engineering (MS),1
2014,Mathematics (BS),Financial Mathematics (MS),1
2014,Mathematics (BSH),Comput & Math Engr (MS),1
2014,Mathematics (BSH),Computer Science (MS),1
2014,Mgmt Sci & Engineering (BS),Energy Resources Engineer (MS),1
2014,Mgmt Sci & Engineering (BS),Music (MA),1
2014,Mgmt Sci & Engineering (BS),Public Policy (MA),1
2014,Philosophy (BA),Computer Science (MS),1
2014,Philosophy (BA),Symbolic Systems (MS),1
2014,Physics (BS),Education (MA),1
2014,Physics (BS),Electrical Engineering (MS),1
2014,Physics (BS),Geophysics (MS),1
2014,Physics (BSH),Aeronautics & Astro (MS),1
2014,Physics (BSH),Computer Science (MS),1
2014,Political Science (BA),Communication (MA),1
2014,Political Science (BA),Latin American Studies (MA),1
2014,Political Science (BA),Public Policy (MA),1
2014,Psychology (BA),Computer Science (MS),1
2014,Psychology (BA),Education (MA),1
2014,Public Policy (BA),Mgmt Sci & Engineering (MS),1
2014,Public Policy (BA),Public Policy (MA),1
2014,"Science, Tech, & Soc (BS)",Communication (MA),1
2014,"Science, Tech, & Soc (BS)",Mgmt Sci & Engineering (MS),1
2014,Sociology (BAH),Education (MA),1
2014,Symbolic Systems (BS),Symbolic Systems (MS),1
2014,Urban Studies (BA),Psychology (MA),1
2014,Urban Studies (BAH),Anthropology (MA),1
2015,Computer Science (BS),Computer Science (MS),57
2015,Mechanical Engineer (BS),Mechanical Engineer (MS),27
2015,Electrical Engineering (BS),Electrical Engineering (MS),18
2015,Engineering (BS),Mechanical Engineer (MS),11
2015,Chemical Engineering (BS),Chemical Engineering (MS),9
2015,Earth Systems (BS),Earth Systems (MS),9
2015,Economics (BA),Mgmt Sci & Engineering (MS),9
2015,Computer Science (BS),Mgmt Sci & Engineering (MS),8
2015,Mgmt Sci & Engineering (BS),Mgmt Sci & Engineering (MS),7
2015,Engineering (BS),Mgmt Sci & Engineering (MS),6
2015,Mathematics (BS),Computer Science (MS),6
2015,Communication (BA),Communication (MA),4
2015,International Relat (BA),Public Policy (MA),4
2015,Physics (BS),Electrical Engineering (MS),4
2015,Biology (BS),Biology (MS),3
2015,Biology (BSH),Biology (MS),3
2015,Biology (BSH),Civil & Envir Engr (MS),3
2015,Economics (BA),Sociology (MA),3
2015,Electrical Engineering (BSH),Electrical Engineering (MS),3
2015,Energy Resources Engineer(BS),Energy Resources Engineer (MS),3
2015,Engineering (BS),Electrical Engineering (MS),3
2015,English (BA),English (MA),3
2015,Human Biology (BA),Earth Systems (MS),3
2015,International Relat (BA),Communication (MA),3
2015,Math & Comp Science (BS),Computer Science (MS),3
2015,Mathematics (BS),Statistics (MS),3
2015,Psychology (BA),Communication (MA),3
2015,Symbolic Systems (BS),Computer Science (MS),3
2015,Civil Engineering (BS),Civil & Envir Engr (MS),2
2015,Computer Science (BS),Civil & Envir Engr (MS),2
2015,Computer Science (BS),Electrical Engineering (MS),2
2015,Computer Science (BSH),Computer Science (MS),2
2015,Earth Systems (BS),Civil & Envir Engr (MS),2
2015,Economics (BA),Public Policy (MA),2
2015,Electrical Engineering (BS),Computer Science (MS),2
2015,Engineering (BS),Aeronautics & Astro (MS),2
2015,English (BA),Communication (MA),2
2015,English (BAH),English (MA),2
2015,History (BA),Computer Science (MS),2
2015,History (BAH),History (MA),2
2015,Human Biology (BA),Psychology (MA),2
2015,Materials Science & Engr (BS),Materials Science & Engr (MS),2
2015,Math & Comp Science (BS),Mgmt Sci & Engineering (MS),2
2015,Math & Comp Science (BS),Statistics (MS),2
2015,Mathematics (BS),Electrical Engineering (MS),2
2015,Music (BAH),Music (MA),2
2015,Physics (BSH),Computer Science (MS),2
2015,Political Science (BA),Communication (MA),2
2015,"Science, Tech, & Soc (BA)",Communication (MA),2
2015,"Science, Tech, & Soc (BS)",Mgmt Sci & Engineering (MS),2
2015,Symbolic Systems (BS),Music (MA),2
2015,Symbolic Systems (BS),Symbolic Systems (MS),2
2015,American Studies (BA),Communication (MA),1
2015,American Studies (BA),Sociology (MA),1
2015,Anthropology (BA),Anthropology (MA),1
2015,Anthropology (BA),Communication (MA),1
2015,Anthropology (BA),Latin American Studies (MA),1
2015,Anthropology (BAH),Computer Science (MS),1
2015,Archaeology (BAH),Anthropology (MA),1
2015,Art History (BA),East Asian Studies (MA),1
2015,Art Practice (BA),Computer Science (MS),1
2015,Biology (BS),Civil & Envir Engr (MS),1
2015,Biology (BSH),Earth Systems (MS),1
2015,Biology (BSH),Education (MA),1
2015,Biology (BSH),Mgmt Sci & Engineering (MS),1
2015,Biology (BSH),Music (MA),1
2015,Chemical Engineering (BS),Biology (MS),1
2015,Chemical Engineering (BS),Electrical Engineering (MS),1
2015,Chemical Engineering (BS),Energy Resources Engineer (MS),1
2015,Civil Engineering (BS),Mgmt Sci & Engineering (MS),1
2015,Civil Engineering (BSH),Mechanical Engineer (MS),1
2015,Comp Stu Race & Eth (BAH),Communication (MA),1
2015,Computer Science (BS),Biomedical Informatics (MS),1
2015,Drama (BAH),Communication (MA),1
2015,Earth Systems (BSH),Civil & Envir Engr (MS),1
2015,Earth Systems (BSH),Earth Systems (MS),1
2015,Economics (BA),Communication (MA),1
2015,Economics (BA),Computer Science (MS),1
2015,Economics (BA),Statistics (MS),1
2015,Economics (BAH),Computer Science (MS),1
2015,Economics (BAH),Public Policy (MA),1
2015,Electrical Engineering (BS),Mgmt Sci & Engineering (MS),1
2015,Engineering (BS),Bioengineering (MS),1
2015,Engineering (BS),Computer Science (MS),1
2015,Engineering (BS),Education (MA),1
2015,Engineering (BSH),Biology (MS),1
2015,English (BA),Education (MA),1
2015,English (BA),Sociology (MA),1
2015,Environmental Engineer (BS),Civil & Envir Engr (MS),1
2015,Geol & Environ Sci (BS),Mgmt Sci & Engineering (MS),1
2015,History (BA),History (MA),1
2015,History (BA),Sociology (MA),1
2015,History (BAH),Earth Systems (MS),1
2015,Human Biology (BA),Biology (MS),1
2015,Human Biology (BA),Biomedical Informatics (MS),1
2015,Human Biology (BA),Mechanical Engineer (MS),1
2015,Human Biology (BA),Mgmt Sci & Engineering (MS),1
