School,Demographic,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Dean of Research/Independent Labs,Female,5,5,5,5,5,4,5,5,5,4
,Male,8,6,6,10,13,12,12,14,14,13
,Total,13,11,11,15,18,16,17,19,19,17
,,,,,,,,,,,
Graduate School of Business,Female,20,19,20,23,25,29,26,26,25,24
,Male,83,88,92,92,90,94,97,98,98,100
,Total,103,107,112,115,115,123,123,124,123,124
,,,,,,,,,,,
Graduate School of Education,Female,24,25,25,23,24,22,22,22,19,21
,Male,29,30,32,32,32,38,37,37,32,33
,Total,53,55,57,55,56,60,59,59,51,54
,,,,,,,,,,,
Law School,Female,17,17,18,19,21,21,23,23,24,22
,Male,34,37,37,39,40,41,41,40,42,42
,Total,51,54,55,58,61,62,64,63,66,64
,,,,,,,,,,,
"School of Earth, Energy and Environmental Sciences",Female,11,13,13,15,16,17,15,16,18,23
,Male,39,38,39,40,43,42,43,43,41,41
,Total,50,51,52,55,59,59,58,59,59,64
,,,,,,,,,,,
School of Engineering,Female,33,36,38,37,38,38,40,45,45,51
,Male,204,197,200,208,208,220,217,216,218,216
,Total,237,233,238,245,246,258,257,261,263,267
,,,,,,,,,,,
School of Humanities & Sciences,Female,156,157,166,164,167,173,181,187,181,196
,Male,369,383,398,408,412,408,400,391,394,392
,Total,525,540,564,572,579,581,581,578,575,588
,,,,,,,,,,,
School of Medicine,Female,229,233,244,255,277,287,302,322,341,349
,Male,600,609,623,633,669,668,682,698,707,714
,Total,829,842,867,888,946,955,984,1020,1048,1063
,,,,,,,,,,,
SLAC National Accelerator Center,Female,4,5,4,4,3,3,4,4,3,3
,Male,35,36,35,36,35,36,33,32,33,31
,Total,39,41,39,40,38,39,37,36,36,34
,,,,,,,,,,,
ALL,Female,499,510,533,545,576,594,618,650,661,693
,Male,1401,1424,1462,1498,1542,1559,1562,1569,1579,1582
,Total,1900,1934,1995,2043,2118,2153,2180,2219,2240,2275
,,,,,,,,,,,
ALL %,Female,26%,26%,27%,27%,27%,28%,28%,29%,30%,30%
,Male,74%,74%,73%,73%,73%,72%,72%,71%,70%,70%
