course,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC
AA 100,20,39,22,13,5,3,0,1,0,1,0,0,4,16,2
AA 200,5,9,7,4,4,1,0,0,0,0,1,0,0,1,1
AA 210A,10,23,16,15,8,2,0,1,1,0,0,0,3,1,0
AA 242A,4,5,8,6,6,3,2,0,0,0,0,0,0,0,0
AA 283,5,15,15,10,9,4,2,0,1,0,0,0,0,1,0
AA 290,3,24,0,0,0,0,0,0,0,0,0,0,0,3,0
AFRICAAM 105,8,40,9,2,6,1,0,0,0,0,0,0,0,0,0
AFRICAST 112,0,4,10,8,6,1,0,0,0,0,0,0,0,1,0
AMSTUD 140,0,21,18,10,2,0,0,0,0,0,0,0,0,3,0
AMSTUD 150,1,17,14,5,4,0,0,0,0,0,0,0,0,1,0
AMSTUD 160,1,29,14,8,3,1,0,0,0,0,0,0,1,1,0
AMSTUD 179,1,23,25,17,11,2,2,0,0,0,0,0,0,6,3
AMSTUD 214,0,15,11,8,5,0,0,0,0,0,0,0,2,1,0
ANES 199,24,9,0,0,0,0,0,0,0,0,0,0,3,7,0
ANTHRO 1,6,50,24,19,17,5,4,3,0,1,1,1,0,5,0
ANTHRO 82,1,38,17,11,5,6,0,0,1,0,0,0,0,2,0
APPPHYS 79N,3,27,17,11,3,0,1,0,0,0,0,0,0,0,0
ARTHIST 2,2,11,7,6,3,0,0,1,0,0,0,0,0,0,0
ARTHIST 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARTSTUDI 140,43,100,24,11,6,1,0,0,0,0,0,0,0,16,0
ARTSTUDI 145,14,34,17,17,2,0,0,0,0,0,0,0,2,7,0
ARTSTUDI 151,7,23,10,1,1,0,0,0,0,0,0,0,0,3,0
ARTSTUDI 160,8,40,48,43,24,1,1,0,0,0,0,0,0,4,1
ARTSTUDI 170,1,74,18,5,1,0,0,0,0,0,0,0,0,2,0
ATHLETIC 10,7,10,0,0,0,0,0,0,0,0,0,0,0,120,0
BIO 102,10,8,5,1,4,1,0,1,0,0,0,0,0,1,0
BIO 104,26,58,25,8,4,1,0,0,0,0,0,0,1,2,0
BIO 109A,1,24,9,4,3,2,1,0,0,0,0,0,0,1,0
BIO 112,4,157,44,25,41,7,2,8,0,0,0,0,4,11,0
BIO 141,4,19,11,8,8,8,1,2,0,0,0,0,1,2,0
BIO 144,5,6,4,7,5,1,1,1,0,0,0,0,0,1,0
BIO 150,19,92,67,74,50,12,8,6,3,0,0,0,1,72,0
BIO 153,2,11,2,5,10,2,0,0,0,0,0,0,0,3,0
BIO 154,5,21,26,14,23,3,1,1,0,0,0,0,0,5,1
BIO 158,5,22,9,10,17,9,0,0,0,0,0,0,0,8,0
BIO 199,66,138,2,2,1,0,0,0,0,0,0,0,0,31,1
BIO 199X,60,170,9,0,0,0,0,0,0,0,0,0,0,22,0
BIO 230,10,48,7,24,27,2,7,3,1,0,0,0,0,12,0
BIO 291,8,36,2,0,0,0,0,0,0,0,0,0,0,0,0
BIO 3,0,1,0,0,0,0,0,0,0,0,0,0,0,35,1
BIOE 131,1,15,9,3,1,1,0,0,0,0,0,0,0,1,0
BIOE 191,5,38,0,0,0,0,0,0,0,0,0,0,1,6,0
BIOE 42,10,9,9,8,9,7,0,2,0,0,0,0,0,0,0
BIOE 44,1,21,20,6,5,0,0,0,0,0,0,0,0,0,0
BIOE 51,8,19,7,1,5,1,0,0,0,0,0,0,0,0,0
BIOE 70Q,5,51,13,3,0,1,0,0,0,0,0,0,1,3,0
BIOHOPK 174H,0,24,4,4,7,0,0,0,0,0,0,0,0,0,1
BIOHOPK 43,0,20,5,4,17,1,0,2,0,0,0,0,0,0,0
CBIO 101,6,34,23,18,11,2,3,1,0,0,0,0,0,8,1
CEE 100,2,42,28,20,13,4,2,1,3,0,0,1,0,3,0
