INSTITUTION,YEAR,TOTAL_UG,NR_UG,NR_PCT_UG
STANFORD,2010-2011,6895,494,0.072
STANFORD,2011-2012,6927,526,0.076
STANFORD,2012-2013,7003,522,0.075
STANFORD,2013-2014,6980,565,0.081
STANFORD,2014-2015,7018,575,0.082
STANFORD,2015-2016,6994,612,0.088
STANFORD,2016-2017,7032,640,0.091
STANFORD,2017-2018,7056,646,0.092
STANFORD,2018-2019,7083,739,0.104
STANFORD,2019-2020,6994,747,0.107
HARVARD,2010-2011,6641,675,0.102
HARVARD,2011-2012,6657,726,0.109
HARVARD,2012-2013,6610,721,0.109
HARVARD,2013-2014,6671,717,0.107
HARVARD,2014-2015,6636,755,0.114
HARVARD,2015-2016,6638,764,0.115
HARVARD,2016-2017,6646,771,0.116
HARVARD,2017-2018,6701,718,0.107
HARVARD,2018-2019,6722,814,0.121
HARVARD,2019-2020,N/A,N/A,
YALE,2010-2011,5296,520,0.098
YALE,2011-2012,5342,541,0.101
YALE,2012-2013,5397,554,0.103
YALE,2013-2014,5422,570,0.105
YALE,2014-2015,5473,569,0.104
YALE,2015-2016,5528,586,0.106
YALE,2016-2017,5471,587,0.107
YALE,2017-2018,5743,614,0.107
YALE,2018-2019,5963,646,0.108
YALE,2019-2020,6089,621,0.102
PRINCETON,2010-2011,5142,542,0.105
PRINCETON,2011-2012,5160,544,0.105
PRINCETON,2012-2013,5255,555,0.106
PRINCETON,2013-2014,5234,569,0.109
PRINCETON,2014-2015,5258,579,0.11
PRINCETON,2015-2016,5260,602,0.114
PRINCETON,2016-2017,5236,625,0.119
PRINCETON,2017-2018,5246,629,0.12
PRINCETON,2018-2019,5301,653,0.123
PRINCETON,2019-2020,N/A,N/A,
BROWN,2010-2011,6102,586,0.096
BROWN,2011-2012,6118,660,0.108
BROWN,2012-2013,6133,694,0.113
BROWN,2013-2014,6182,721,0.117
BROWN,2014-2015,6264,725,0.116
BROWN,2015-2016,6320,753,0.119
BROWN,2016-2017,6580,744,0.113
BROWN,2017-2018,6670,751,0.113
BROWN,2018-2019,6752,751,0.111
BROWN,2019-2020,6834,782,0.114
CORNELL,2010-2011,13885,1208,0.087
CORNELL,2011-2012,14108,1281,0.091
CORNELL,2012-2013,14186,1308,0.092
CORNELL,2013-2014,14309,1344,0.094
CORNELL,2014-2015,14366,1379,0.096
CORNELL,2015-2016,14226,1376,0.097
CORNELL,2016-2017,14471,1461,0.101
CORNELL,2017-2018,14815,1514,0.102
CORNELL,2018-2019,15105,1589,0.105
CORNELL,2019-2020,14976,1553,0.104
UPENN,2010-2011,9865,1071,0.109
UPENN,2011-2012,9779,1077,0.11
UPENN,2012-2013,9374,1086,0.116
UPENN,2013-2014,9712,1077,0.111
UPENN,2014-2015,9746,1103,0.113
UPENN,2015-2016,9726,1127,0.116
UPENN,2016-2017,10019,1186,0.118
UPENN,2017-2018,10033,1261,0.126
UPENN,2018-2019,10183,1320,0.13
UPENN,2019-2020,10019,1347,0.134
MIT,2010-2011,4285,398,0.093
MIT,2011-2012,4363,433,0.099
MIT,2012-2013,4477,445,0.099
MIT,2013-2014,4510,433,0.096
MIT,2014-2015,4476,433,0.097
MIT,2015-2016,4474,436,0.097
MIT,2016-2017,4489,428,0.095
MIT,2017-2018,4489,470,0.105
MIT,2018-2019,4550,457,0.1
MIT,2019-2020,N/A,N/A,
