,product,Chemical,Amount
0,Ito En Oi Ocha Unsweetened Green Tea,DEHP,0.4306237725909149
1,Whole Foods Non-Organic Broccoli,DEHP,-0.6489414569029364
2,Whole Foods Organic Broccoli,DEHP,-0.7395583205401245
3,Clover Organic Whole Milk in Whole Gallon Jug,DEHP,-0.20614337729202825
4,Clover Organic Whole Milk in Half Gallon Carton,DEHP,-0.20614337729202825
5,Straus Organic Whole Milk in Glass,DEHP,-0.20614337729202825
6,Gerber Baby Food Banana in Glass,DEHP,-0.5353030116930573
7,Gerber Baby Food Organic Carrot in Glass,DEHP,-0.6401246809814802
8,Gerber Baby Food Carrot Puree in Plastic,DEHP,-0.5353030116930573
9,Happy Baby Baby Food Organic Carrot in Glass,DEHP,-0.20859248171465497
10,Almond Breeze Original Almond Milk Unsweetened in Carton,DEHP,1.6747688192852808
11,Oatly Oatmilk Full Fat Chilled in Carton,DEHP,-0.20614337729202825
14,Driscoll's Non-Organic Strawberries,DEHP,-0.46966701316666165
15,Good Farms Organic Strawberries,DEHP,-0.4490945360165973
16,Chobani Greek Yogurt Nonfat Plain,DEHP,-0.007765919059265201
17,Straus Organic Whole Milk Plain Greek Yogurt,DEHP,0.0005610359776655942
18,Straus Organic Whole Milk European Style Plain Yogurt,DEHP,-0.06605460431778076
19,KIND Dark Chocolate Nuts & Sea Salt Bar,DEHP,-0.791969155184336
20,Fairlife Core Power Elite 42g High Protein Shake Vanilla,DEHP,0.8224804802111876
21,Fairlife Core Power Elite 42g High Protein Shake Vanilla,DEHP,0.8224804802111876
22,Fairlife Core Power Elite 42g High Protein Shake Vanilla,DEHP,0.8224804802111876
23,Fairlife Core Power 26g Protein Shake Strawberry Banana,DEHP,0.8224804802111876
24,Fairlife Core Power 26g Protein Shake Vanilla,DEHP,0.8224804802111876
27,Costco Seasoned Rotisserie Chicken,DEHP,-0.24924761513025825
29,Unfiltered Tap Water - Y Combinator (30sec after start),DEHP,0.35715063991211377
30,Unfiltered Tap Water - Fort Mason (30sec after start),DEHP,0.35715063991211377
31,Unfiltered Tap Water - Hayes Valley (30sec after start),DEHP,0.35715063991211377
32,Pier 39 Farmer's Market Strawberries,DEHP,-0.6959642618173691
33,Butter Chicken - SF Indian Restaurant,DEHP,2.5682021126595025
35,Blue Bottle Medium Roast Black Coffee from SF Ferry Building,DEHP,-0.1047504541952827
36,Blue Bottle Medium Roast Black Coffee from SF Hayes Valley,DEHP,0.31306676030483305
37,Boudin Sourdough Bread,DEHP,-0.8928722573965562
38,Unfiltered Tap Water - PlasticList Office (30sec after start),DEHP,0.35715063991211377
39,Brita Filtered Tap Water - Brita Pitcher 1 (directly after filtering),DEHP,0.35715063991211377
40,Brita Filtered Tap Water - Brita Pitcher (after 1hr),DEHP,0.35715063991211377
41,Brita Filtered Tap Water - Munchkin Cup (after 1hr),DEHP,0.35715063991211377
42,Brita Filtered Tap Water - Solo Cup (after 1hr),DEHP,0.35715063991211377
43,Brita Filtered Tap Water - Nalgene Bottle (after 1hr),DEHP,0.35715063991211377
44,Brita Filtered Tap Water - Hydro Flask (after 1hr),DEHP,0.35715063991211377
45,Brita Filtered Tap Water - Brita Pitcher 2 (directly after filtering),DEHP,0.35715063991211377
46,Jamba Juice Fruit Smoothie with Soymilk Acai Berries and Sherbet,DEHP,0.4306237725909149
47,Blue Bottle Medium Roast Black Coffee from Palo Alto,DEHP,-0.22083800382778848
48,Starbucks Medium Roast Black Coffee from Palo Alto,DEHP,-0.22083800382778848
49,Verve Medium Roast Black Coffee from Palo Alto,DEHP,-0.22083800382778848
50,Boba Guys Black Tea Juice,DEHP,0.4306237725909149
